Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Location,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
I4IoT,https://i4iot.com/,"I4IoT is a cloud-based predictive maintenance software and solutions provider for the manufacturing industry. The services offered are I4IoT software, wireless sensor network, predictive maintenance, and custom software. The features of the product are monitoring, maintenance, notifications, documentation, performance, data analysis.",Unfunded,,Predictive Maintenance,Emerging,2017,Italy,Alternate,TRUE,,,,
Monixo,https://www.monixo.com/,"Monixo is a cloud-based predictive and conditional maintenance software and IoT devices provider. The product is offered as a predictive maintenance kit which includes IoT for rotating machine monitoring and IoT for fluid management and the features are flexible, scalable, and simple. The products are used in industries such as train ferry, CNC machine, crusher, air handling unit, pump, hydroelectric group, power transformer, truck, online oil analysis, and plastic injection moulding.",Unfunded,,Predictive Maintenance,Emerging,2013,France,Alternate,TRUE,,,,
Can4Pro,https://www.can4pro.com/,"Can4Pro is a cloud-based predictive maintenance software provider. The product offered is the Smart factory. The other features of the software are predictive maintenance, consumptions control, production efficiency, remote monitoring, and data interoperability. The software connects all the devices together allowing for remote sensing and predicting the failure.",Unfunded,,Operations Intelligence,Emerging,2016,Italy,Alternate,TRUE,,,,
Miota,https://www.miota.it/,"Miota is an IoT-based predictive maintenance software to achieve industry. The features of this product are predictive maintenance, preventive maintenance, and enterprise resource planning. The company claims that using this software gives benefits such as super depreciation, hyper amortization, and tax credit.",Unfunded,,Predictive Maintenance,Emerging,2017,Italy,Alternate,TRUE,,,,
Xemelgo,https://www.xemelgo.com/,Xemelgo is a cloud and AI-based collaborative software for manufacturing industries. The software is a mobile-first application which uses the real-time visibility data into the inventory. The software predicts the failures and the deviations in the production and notifies to the mobile devices connected.,Unfunded,,Operations Intelligence,Emerging,2018,USA,Alternate,TRUE,,,,
Embassy of Things,https://embassyofthings.com/,"Embassy of Things provides IoT based analytic solutions for the oil & gas, energy, and manufacturing industry. Provides condition monitoring, predictive maintenance, energy management, process optimization, and demand forecasting solutions. Offers industrial operational data using the cloud-based identity and access management system. Also provides a product known as Twin Talk that is claimed to create secure, scalable access channels between industrial operational systems (OT) and cloud (IT) solutions.",Unfunded,,Predictive Maintenance,Emerging,2018,USA,Alternate,TRUE,,,,
LEsense,https://uselesense.com.br/,"LEsense provides a data acquisition IoT sensor for application in civil construction, agribusiness, and industry. The device provides data concentrator solutions with analog & digital signal inputs & outputs and contains GPRS, Wi-Fi & mesh communication modules. Provides integration solutions with any software and cloud-based applications.",Unfunded,,Operations Intelligence,Emerging,2018,Brazil,Alternate,TRUE,,,,
Nexcient,https://nexcient.com/,Nexcient provides machine monitoring solutions. It provides wireless sensors and integrates with industrial machines. It also uses an AI platform for machine monitoring. It allows realtime monitoring for users. The platform is a cloud-based platform that allows continuous monitoring for users. It provides alerts with prescribed maintenance orders. It also provides a user-friendly interactive dashboard where users can monitor the assets and machines in realtime. This system notifies the user regarding machine failures by providing a detail analysis report on machine conditions.,Unfunded,,Predictive Maintenance,Emerging,2019,USA,Alternate,TRUE,,,,
Nettra,https://nettra.tech/en/,"Nettra tech provides IoT based remote monitoring and control solutions for industries. It claims to provide solutions for industries such as meteorology, water management, energy efficiency, precision agriculture, and traffic control. It claims to provide two IoT products telemetry+ and RTU+ for industrial automation. It also provides a cloud software platform for the collection, processing, and visualization of information from different sensors and remote control of the system.",Unfunded,,Operations Intelligence,Emerging,2019,Uruguay,Alternate,TRUE,,,,
Infinity IOT,https://www.infinity-iot.co.za/,"Infinity IoT provides monitoring and controlling solutions for industrial machines and assets. It claims to provide wireless Sigfox sensors. The sensors collect the data and transfer the data directly to the cloud. Online tracking software reads the data from the cloud and sends SMS and email alerts. It also provides a user-friendly dashboard that provides detailed analysis reports and information. It also offers white label solutions for OEMs using sensors and provides alerts, sensor maps, remote monitoring, and analytics reporting.",Unfunded,,Operations Intelligence,Emerging,2018,South Africa,Alternate,TRUE,,,,
Drejia,http://www.dreija.com/,"Dreija provides industrial IoT solutions. It claims to offer and provide an IoT platform called Late.io built with native Microsoft azure that can connect to existing systems. It uses and provides blockchain traceability for filtering, creating rules and provides alerts. It integrates systems with SCADA, MES to provide real-time analytics. It also uses machine learning technologies for data classification, anomaly detection, and computer vision.",Unfunded,,Operations Intelligence,Emerging,2019,Finland,Alternate,TRUE,,,,
